eco:b0001	K08278
eco:b0181	K00677
eco:b0182	K00748
eco:b0183	K03470
eco:b0184	K02337
eco:b0185	K01962
eco:b0186	K01582
eco:b0187	K08234
eco:b0188	K04075
eco:b0189	K19000
eco:b0191	K15034
eco:b0192	K06079
eco:b0194	K01881
eco:b0195	K22900
eco:b0196	K06080
eco:b0197	K02073
eco:b0198	K02072
eco:b0199	K02071
eco:b0200	K03273
eco:b0201	K01977
eco:b0202	K14227
eco:b0203	K14218
eco:b0204	K01980
eco:b0205	K01985
eco:b0206	K14221
eco:b0207	K06222
eco:b0211	K08307
eco:b0212	K01069
eco:b0214	K03469
eco:b0215	K02342
eco:b0216	K14221
eco:b0219	K13566
eco:b0221	K06445
eco:b0222	K03271
eco:b0225	K19157
eco:b0226	K07473
eco:b0228	K07491
eco:b0231	K02346
eco:b0232	K19161
eco:b0233	K19160
eco:b0234	K03830
eco:b0237	K01270
eco:b0238	K00769
eco:b0239	K11750
eco:b0241	K11929
eco:b0242	K00931
eco:b0243	K00147
eco:b0244	K14234
eco:b0245	K18837
eco:b0246	K18838
eco:b0247	K03630
eco:b0253	K06946
eco:b0259	K07481
eco:b0260	K16235
eco:b0261	K00547
eco:b0262	K02010
eco:b0264	K07480
eco:b0266	K18838
eco:b0268	K22397
eco:b0269	K22396
eco:b0271	K01198
eco:b0273	K00611
eco:b0274	K07480
eco:b0283	K07402
eco:b0284	K11177
eco:b0285	K11178
eco:b0286	K13483
eco:b0287	K08996
eco:b0288	K06940
eco:b0289	K21968
eco:b0290	K21967
eco:b0291	K21966
eco:b0292	K21965
eco:b0293	K21964
eco:b0294	K21963
eco:b0296	K02909
eco:b0298	K07483
eco:b0299	K07497
eco:b0301	K21741
eco:b0303	K21740
eco:b0304	K21739
eco:b0305	K21746
eco:b0306	K18928
eco:b0307	K18929
eco:b0308	K00782
eco:b0311	K00108
eco:b0312	K00130
eco:b0313	K02167
eco:b0314	K02168
eco:b0315	K13244
eco:b0318	K06867
eco:b0323	K00926
eco:b0325	K13979
eco:b0328	K03329
eco:b0330	K02688
eco:b0331	K03417
eco:b0333	K01659
eco:b0334	K01720
eco:b0335	K01908
eco:b0336	K10974
eco:b0337	K01485
eco:b0338	K11921
eco:b0339	K01673
eco:b0340	K01725
eco:b0341	K03449
eco:b0342	K00633
eco:b0343	K02532
eco:b0344	K01190
eco:b0346	K05818
eco:b0347	K05712
eco:b0348	K05713
eco:b0349	K05714
eco:b0350	K02554
eco:b0351	K04073
eco:b0352	K01666
eco:b0353	K05819
eco:b0354	K09912
eco:b0355	K01070
eco:b0356	K00121
eco:b0357	K23239
eco:b0360	K07483
eco:b0361	K07497
eco:b0365	K15551
eco:b0366	K10831
eco:b0367	K15552
eco:b0368	K03119
eco:b0369	K01698
eco:b0372	K07497
eco:b0373	K07483
eco:b0376	K18988
eco:b0377	K17938
eco:b0381	K01921
eco:b0383	K01077
eco:b0385	K18968
eco:b0386	K00286
eco:b0387	K09768
eco:b0388	K00891
eco:b0390	K14591
eco:b0391	K09913
eco:b0393	K03554
eco:b0394	K00847
eco:b0396	K08156
eco:b0397	K03546
eco:b0398	K03547
eco:b0399	K07657
eco:b0400	K07636
eco:b0401	K03311
eco:b0402	K11736
eco:b0403	K01187
eco:b0404	K08682
eco:b0405	K07568
eco:b0406	K00773
eco:b0407	K03210
eco:b0408	K03072
eco:b0409	K03074
eco:b0411	K05517
eco:b0413	K07738
eco:b0414	K11752
eco:b0415	K00794
eco:b0416	K03625
eco:b0417	K00946
eco:b0418	K01095
eco:b0419	K23107
eco:b0420	K01662
eco:b0421	K00795
eco:b0422	K03602
eco:b0423	K03151
eco:b0424	K03152
eco:b0425	K00077
eco:b0426	K09767
eco:b0428	K02257
eco:b0429	K02300
eco:b0430	K02299
eco:b0431	K02298
eco:b0432	K02297
eco:b0433	K08218
eco:b0434	K07286
eco:b0435	K05527
eco:b0436	K03545
eco:b0437	K01358
eco:b0438	K03544
eco:b0439	K01338
eco:b0440	K03530
eco:b0441	K03770
eco:b0442	K02237
eco:b0443	K12500
eco:b0444	K06920
eco:b0446	K11938
eco:b0447	K05800
eco:b0448	K18889
eco:b0449	K18890
eco:b0450	K04752
eco:b0451	K03320
eco:b0452	K10805
eco:b0453	K09914
eco:b0454	K07443
eco:b0455	K01983
eco:b0459	K00661
eco:b0460	K05839
eco:b0461	K19162
eco:b0462	K18138
eco:b0463	K03585
eco:b0464	K03577
eco:b0465	K05802
eco:b0467	K04067
eco:b0468	K09790
eco:b0469	K00759
eco:b0470	K02343
eco:b0471	K09747
eco:b0472	K06187
eco:b0473	K04079
eco:b0474	K00939
eco:b0475	K01772
eco:b0476	K01066
eco:b0477	K00892
eco:b0478	K03455
eco:b0479	K08223
eco:b0480	K11751
eco:b0481	K03976
eco:b0482	K09973
eco:b0483	K21498
eco:b0484	K17686
eco:b0485	K01425
eco:b0487	K19591
eco:b0488	K07340
eco:b0490	K02068
eco:b0491	K02069
eco:b0492	K05838
eco:b0494	K10804
eco:b0495	K02003
eco:b0496	K02004
eco:b0503	K06917
eco:b0504	K10972
eco:b0505	K01483
eco:b0506	K10973
eco:b0507	K01608
eco:b0508	K01816
eco:b0509	K00042
eco:b0511	K10975
eco:b0512	K01466
eco:b0514	K00865
eco:b0515	K14977
eco:b0516	K02083
eco:b0517	K00073
eco:b0518	K02381
eco:b0521	K00926
eco:b0522	K01589
eco:b0523	K01588
eco:b0524	K03269
eco:b0525	K03768
eco:b0526	K01883
eco:b0527	K07038
eco:b0528	K14761
eco:b0529	K01491
eco:b0530	K07352
eco:b0531	K07353
eco:b0532	K07354
eco:b0533	K07356
eco:b0534	K07355
eco:b0535	K07688
eco:b0536	K14219
eco:b0540	K07483
eco:b0541	K07497
eco:b0543	K03297
eco:b0550	K01160
eco:b0552	K07481
eco:b0555	K01185
eco:b0556	K14744
eco:b0560	K22014
eco:b0564	K07780
eco:b0565	K01355
eco:b0566	K11920
eco:b0568	K11739
eco:b0569	K11740
eco:b0570	K07644
eco:b0571	K07665
eco:b0572	K07796
eco:b0573	K07810
eco:b0574	K07798
eco:b0575	K07787
eco:b0576	K11732
eco:b0577	K16053
eco:b0578	K10679
eco:b0581	K06048
eco:b0583	K02362
eco:b0584	K19611
eco:b0585	K07214
eco:b0586	K02364
eco:b0588	K23188
eco:b0589	K23187
eco:b0590	K23186
eco:b0591	K08225
eco:b0592	K23185
eco:b0593	K02361
eco:b0594	K02363
eco:b0595	K01252
eco:b0596	K00216
eco:b0597	K24147
eco:b0598	K06200
eco:b0599	K08317
eco:b0600	K14287
eco:b0604	K03805
eco:b0605	K24119
eco:b0606	K03387
eco:b0607	K11932
eco:b0610	K06140
eco:b0611	K01169
eco:b0612	K09477
eco:b0613	K05966
eco:b0614	K05964
eco:b0615	K01643
eco:b0616	K01644
eco:b0617	K01646
eco:b0618	K01910
eco:b0619	K07700
eco:b0620	K07702
eco:b0621	K03326
eco:b0622	K12973
eco:b0623	K03704
eco:b0624	K06199
eco:b0627	K03425
eco:b0628	K03644
eco:b0630	K03801
eco:b0631	K09158
eco:b0632	K07258
eco:b0633	K03642
eco:b0634	K05837
eco:b0635	K05515
eco:b0636	K00783
eco:b0637	K09710
eco:b0638	K02226
eco:b0639	K00969
eco:b0640	K02340
eco:b0641	K03643
eco:b0642	K01869
eco:b0644	K07126
eco:b0647	K07126
eco:b0650	K04045
eco:b0651	K01250
eco:b0652	K10004
eco:b0653	K10002
eco:b0654	K10003
eco:b0655	K10001
eco:b0656	K07481
eco:b0657	K03820
eco:b0658	K06189
eco:b0659	K07042
eco:b0660	K06217
eco:b0661	K06168
eco:b0662	K03184
eco:b0664	K14223
eco:b0665	K14223
eco:b0666	K14230
eco:b0668	K14223
eco:b0670	K14223
eco:b0672	K14228
eco:b0673	K14230
eco:b0674	K01953
eco:b0675	K02566
eco:b0676	K02565
eco:b0677	K01443
eco:b0678	K02564
eco:b0679	K02804
eco:b0680	K01886
eco:b0683	K03711
eco:b0684	K03839
eco:b0686	K01175
eco:b0687	K03645
eco:b0688	K01835
eco:b0692	K03756
eco:b0693	K01581
eco:b0694	K07667
eco:b0695	K07646
eco:b0696	K01548
eco:b0697	K01547
eco:b0698	K01546
eco:b0708	K01669
eco:b0709	K03305
eco:b0711	K23123
eco:b0712	K23124
eco:b0713	K07160
eco:b0714	K05522
eco:b0715	K07120
eco:b0720	K01647
eco:b0721	K00241
eco:b0722	K00242
eco:b0723	K00239
eco:b0724	K00240
eco:b0726	K00164
eco:b0727	K00658
eco:b0728	K01903
eco:b0729	K01902
eco:b0730	K11922
eco:b0731	K11200
eco:b0732	K15524
eco:b0733	K00425
eco:b0734	K00426
eco:b0736	K07107
eco:b0737	K03562
eco:b0738	K03560
eco:b0739	K03646
eco:b0740	K03641
eco:b0741	K03640
eco:b0743	K14229
eco:b0744	K14237
eco:b0745	K14229
eco:b0746	K14237
eco:b0747	K14229
eco:b0748	K14229
eco:b0749	K14229
eco:b0750	K03517
eco:b0751	K03811
eco:b0752	K16264
eco:b0754	K01626
eco:b0755	K01834
eco:b0756	K01785
eco:b0757	K00849
eco:b0758	K00965
eco:b0759	K01784
eco:b0760	K05776
eco:b0761	K02019
eco:b0763	K02020
eco:b0764	K02018
eco:b0765	K02017
eco:b0767	K07404
eco:b0770	K03319
eco:b0771	K01681
eco:b0772	K01051
eco:b0774	K00833
eco:b0775	K01012
eco:b0776	K00652
eco:b0777	K02169
eco:b0778	K01935
eco:b0779	K03702
eco:b0781	K03639
eco:b0782	K03638
eco:b0783	K03637
eco:b0784	K03636
eco:b0785	K03635
eco:b0786	K06890
eco:b0787	K06890
eco:b0788	K07027
eco:b0789	K06131
eco:b0792	K25180
eco:b0793	K25181
eco:b0794	K25182
eco:b0795	K25183
eco:b0796	K23777
eco:b0797	K11927
eco:b0798	K09935
eco:b0799	K03722
eco:b0801	K13574
eco:b0804	K07336
eco:b0805	K16090
eco:b0806	K13650
eco:b0807	K06970
eco:b0808	K22044
eco:b0809	K10038
eco:b0810	K10037
eco:b0811	K10036
eco:b0812	K04047
eco:b0813	K11939
eco:b0814	K11934
eco:b0817	K11924
eco:b0819	K19235
eco:b0822	K07757
eco:b0824	K04069
eco:b0825	K08313
eco:b0826	K21029
eco:b0827	K03750
eco:b0828	K13051
eco:b0829	K13892
eco:b0830	K13889
eco:b0831	K13890
eco:b0832	K13891
eco:b0835	K14441
eco:b0836	K19688
eco:b0837	K21430
eco:b0838	K00799
eco:b0839	K07258
eco:b0840	K11534
eco:b0841	K19302
eco:b0842	K08160
eco:b0844	K20861
eco:b0846	K23778
eco:b0847	K07085
eco:b0849	K03674
eco:b0851	K10678
eco:b0852	K05844
eco:b0854	K11073
eco:b0855	K11076
eco:b0856	K11075
eco:b0857	K11074
eco:b0859	K03212
eco:b0860	K09996
eco:b0861	K09998
eco:b0862	K09999
eco:b0863	K09997
eco:b0864	K10000
eco:b0867	K11066
eco:b0870	K01620
eco:b0871	K00156
eco:b0872	K11933
eco:b0873	K05601
eco:b0875	K06188
eco:b0876	K07459
eco:b0877	K09824
eco:b0878	K13888
eco:b0879	K05685
eco:b0880	K03704
eco:b0881	K06891
eco:b0882	K03694
eco:b0883	K14233
eco:b0884	K02518
eco:b0885	K00684
eco:b0886	K16012
eco:b0887	K16013
eco:b0888	K00384
eco:b0889	K03719
eco:b0890	K03466
eco:b0891	K03634
eco:b0892	K07478
eco:b0893	K01875
eco:b0894	K07306
eco:b0895	K07307
eco:b0896	K07308
eco:b0898	K08219
eco:b0902	K04069
eco:b0903	K00656
eco:b0904	K06212
eco:b0905	K09136
eco:b0907	K00831
eco:b0908	K00800
eco:b0909	K07387
eco:b0910	K00945
eco:b0911	K02945
eco:b0912	K05788
eco:b0913	K02238
eco:b0914	K11085
eco:b0915	K00912
eco:b0916	K09927
eco:b0917	K09791
eco:b0918	K00979
eco:b0921	K06219
eco:b0922	K03633
eco:b0923	K03804
eco:b0924	K03632
eco:b0925	K21470
eco:b0927	K01069
eco:b0928	K00813
eco:b0929	K09476
eco:b0930	K01893
eco:b0931	K00763
eco:b0932	K01256
eco:b0933	K15555
eco:b0934	K15554
eco:b0935	K04091
eco:b0936	K15553
eco:b0937	K00299
eco:b0940	K07347
eco:b0945	K00254
eco:b0946	K18657
eco:b0947	K07140
eco:b0948	K12297
eco:b0949	K15738
eco:b0950	K03808
eco:b0951	K06192
eco:b0952	K09857
eco:b0953	K03812
eco:b0954	K01716
eco:b0955	K04770
eco:b0956	K09911
eco:b0957	K03286
eco:b0958	K13053
eco:b0959	K07343
eco:b0962	K03658
eco:b0963	K01734
eco:b0964	K09909
eco:b0965	K06929
eco:b0966	K11940
eco:b0967	K06969
eco:b0968	K01512
eco:b0969	K11179
eco:b0970	K19416
eco:b0971	K14233
eco:b0972	K06282
eco:b0973	K06281
eco:b0974	K03620
eco:b0975	K03605
eco:b0976	K03619
eco:b0977	K03618
eco:b0978	K00425
eco:b0979	K00426
eco:b0980	K01093
eco:b0981	K16692
eco:b0982	K25307
eco:b0983	K01991
eco:b0988	K07480
eco:b0989	K03704
eco:b0990	K03704
eco:b0993	K07647
eco:b0994	K11930
eco:b0995	K07772
eco:b0996	K03532
eco:b0997	K07811
eco:b0998	K03533
eco:b0999	K18997
eco:b1000	K05516
eco:b1002	K01085
eco:b1004	K03809
eco:b1006	K09016
eco:b1007	K09024
eco:b1008	K09019
eco:b1009	K09023
eco:b1010	K09021
eco:b1011	K09020
eco:b1012	K09018
eco:b1013	K09017
eco:b1014	K13821
eco:b1015	K11928
eco:b1018	K07224
eco:b1019	K16301
eco:b1020	K06217
eco:b1021	K11937
eco:b1022	K11936
eco:b1023	K11931
eco:b1024	K11935
eco:b1026	K07497
eco:b1027	K07483
eco:b1032	K14233
eco:b1033	K12972
eco:b1034	K04477
eco:b1037	K06214
eco:b1038	K04338
eco:b1039	K04337
eco:b1040	K04333
eco:b1041	K04335
eco:b1042	K04334
eco:b1043	K04336
eco:b1045	K23518
eco:b1046	K06132
eco:b1047	K11941
eco:b1048	K03670
eco:b1049	K03669
eco:b1051	K12147
eco:b1053	K08161
eco:b1054	K02517
eco:b1055	K07146
eco:b1059	K02846
eco:b1060	K12148
eco:b1061	K12149
eco:b1062	K01465
eco:b1064	K03675
eco:b1065	K08162
eco:b1066	K03790
eco:b1067	K09915
eco:b1068	K03810
eco:b1069	K03980
eco:b1070	K02399
eco:b1071	K02398
eco:b1072	K02386
eco:b1073	K02387
eco:b1074	K02388
eco:b1075	K02389
eco:b1076	K02390
eco:b1077	K02391
eco:b1078	K02392
eco:b1079	K02393
eco:b1080	K02394
eco:b1081	K02395
eco:b1082	K02396
eco:b1083	K02397
eco:b1084	K08300
eco:b1086	K06179
eco:b1087	K25422
eco:b1088	K07040
eco:b1089	K02911
eco:b1090	K03621
eco:b1091	K00648
eco:b1092	K00645
eco:b1093	K00059
eco:b1094	K02078
eco:b1095	K09458
eco:b1096	K02619
eco:b1097	K07082
eco:b1098	K00943
eco:b1099	K02341
eco:b1100	K03424
eco:b1101	K02779
eco:b1102	K16088
eco:b1103	K02503
eco:b1105	K07337
eco:b1106	K07251
eco:b1107	K01207
eco:b1108	K07000
eco:b1109	K03885
eco:b1111	K22041
eco:b1112	K12151
eco:b1113	K19236
eco:b1114	K03723
eco:b1116	K09808
eco:b1117	K09810
eco:b1118	K09808
eco:b1119	K00884
eco:b1120	K12410
eco:b1123	K11069
eco:b1124	K11070
eco:b1125	K11071
eco:b1126	K11072
eco:b1127	K01258
eco:b1128	K18850
eco:b1129	K07637
eco:b1130	K07660
eco:b1131	K01756
eco:b1132	K07153
eco:b1133	K00566
eco:b1134	K12152
eco:b1135	K06181
eco:b1136	K00031
eco:b1159	K07451
eco:b1160	K21638
eco:b1162	K21972
eco:b1163	K21973
eco:b1164	K21974
eco:b1165	K21975
eco:b1166	K21976
eco:b1174	K03608
eco:b1175	K03609
eco:b1176	K03610
eco:b1179	K09902
eco:b1181	K09160
eco:b1182	K11139
eco:b1183	K03503
eco:b1184	K03502
eco:b1185	K03611
eco:b1186	K03314
eco:b1187	K03603
eco:b1189	K00285
eco:b1190	K01775
eco:b1191	K11105
eco:b1192	K01297
eco:b1193	K08308
eco:b1194	K21087
eco:b1197	K01194
eco:b1198	K05881
eco:b1199	K05879
eco:b1200	K05878
eco:b1201	K05880
eco:b1203	K06942
eco:b1204	K01056
eco:b1206	K03321
eco:b1207	K00948
eco:b1208	K00919
eco:b1209	K02494
eco:b1210	K02492
eco:b1211	K02835
eco:b1212	K02493
eco:b1215	K01627
eco:b1216	K07300
eco:b1217	K06197
eco:b1218	K07232
eco:b1219	K06039
eco:b1221	K07684
eco:b1222	K07673
eco:b1223	K02575
eco:b1224	K00370
eco:b1225	K00371
eco:b1226	K00373
eco:b1227	K00374
eco:b1230	K14236
eco:b1231	K14236
eco:b1232	K01433
eco:b1233	K09858
eco:b1234	K07001
eco:b1235	K02485
eco:b1236	K00963
eco:b1237	K03746
eco:b1238	K00857
eco:b1241	K04072
eco:b1243	K15580
eco:b1244	K15581
eco:b1245	K15582
eco:b1246	K15583
eco:b1247	K10823
eco:b1248	K09901
eco:b1249	K06131
eco:b1250	K10716
eco:b1251	K09780
eco:b1252	K03832
eco:b1253	K10806
eco:b1254	K06190
eco:b1256	K07275
eco:b1259	K06884
eco:b1260	K01695
eco:b1261	K01696
eco:b1262	K13498
eco:b1263	K13497
eco:b1264	K01657
eco:b1265	K07802
eco:b1266	K07053
eco:b1269	K06178
eco:b1270	K19221
eco:b1272	K04774
eco:b1274	K03168
eco:b1275	K13634
eco:b1276	K01681
eco:b1277	K01497
eco:b1278	K01096
eco:b1279	K08992
eco:b1280	K19804
eco:b1281	K01591
eco:b1282	K03113
eco:b1283	K04062
eco:b1285	K14051
eco:b1286	K01147
eco:b1288	K00208
eco:b1290	K19230
eco:b1291	K19229
eco:b1292	K19228
eco:b1293	K19227
eco:b1294	K19226
eco:b1296	K14052
eco:b1297	K09470
eco:b1298	K09473
eco:b1299	K14056
eco:b1300	K09472
eco:b1301	K09471
eco:b1302	K00823
eco:b1303	K03974
eco:b1304	K03969
eco:b1305	K03970
eco:b1306	K03973
eco:b1307	K03971
eco:b1308	K03972
eco:b1309	K22597
eco:b1310	K02027
eco:b1311	K02025
eco:b1312	K02026
eco:b1316	K04844
eco:b1317	K01838
eco:b1319	K14053
eco:b1321	K06918
eco:b1322	K08990
eco:b1323	K03721
eco:b1324	K11065
eco:b1325	K19802
eco:b1326	K14054
eco:b1327	K06889
eco:b1328	K24082
eco:b1329	K15580
eco:b1330	K16052
eco:b1331	K07481
eco:b1333	K14055
eco:b1334	K01420
eco:b1335	K00567
eco:b1336	K12942
eco:b1337	K12941
eco:b1338	K12940
eco:b1339	K14057
eco:b1341	K21088
eco:b1342	K16074
eco:b1343	K05591
eco:b1344	K14058
eco:b1345	K14059
eco:b1347	K19780
eco:b1348	K19779
eco:b1349	K07455
eco:b1350	K10906
eco:b1360	K10762
eco:b1363	K03498
eco:b1370	K07481
eco:b1374	K14060
eco:b1376	K14061
eco:b1377	K14062
eco:b1378	K03737
eco:b1379	K03668
eco:b1380	K03778
eco:b1383	K09978
eco:b1384	K14063
eco:b1385	K00146
eco:b1386	K00276
eco:b1387	K02618
eco:b1388	K02609
eco:b1389	K02610
eco:b1390	K02611
eco:b1391	K02612
eco:b1392	K02613
eco:b1393	K01692
eco:b1394	K15866
eco:b1395	K00074
eco:b1396	K02614
eco:b1397	K02615
eco:b1398	K01912
eco:b1399	K02616
eco:b1400	K02617
eco:b1402	K07497
eco:b1403	K07483
eco:b1406	K05275
eco:b1409	K00981
eco:b1412	K01118
eco:b1413	K03578
eco:b1415	K07248
eco:b1418	K12262
eco:b1421	K05876
eco:b1426	K09794
eco:b1427	K03817
eco:b1429	K03304
eco:b1430	K16868
eco:b1432	K07496
eco:b1433	K05782
eco:b1434	K23779
eco:b1435	K24847
eco:b1438	K18843
eco:b1440	K02055
eco:b1441	K02052
eco:b1442	K02054
eco:b1443	K02053
eco:b1444	K00137
eco:b1447	K09936
eco:b1448	K24217
eco:b1449	K23256
eco:b1450	K13654
eco:b1451	K02014
eco:b1453	K11738
eco:b1454	K11208
eco:b1461	K01821
eco:b1463	K00675
eco:b1465	K00374
eco:b1466	K00373
eco:b1467	K00371
eco:b1468	K00370
eco:b1469	K02575
eco:b1474	K08348
eco:b1475	K08349
eco:b1476	K08350
eco:b1477	K21498
eco:b1478	K13953
eco:b1479	K00027
eco:b1480	K02972
eco:b1482	K04063
eco:b1483	K02032
eco:b1484	K02031
eco:b1485	K02034
eco:b1486	K02033
eco:b1487	K02035
eco:b1488	K08641
eco:b1489	K13243
eco:b1490	K13069
eco:b1492	K20265
eco:b1493	K01580
eco:b1494	K07263
eco:b1496	K02471
eco:b1497	K06871
eco:b1498	K01138
eco:b1500	K23236
eco:b1507	K07154
eco:b1508	K15773
eco:b1511	K11216
eco:b1512	K11531
eco:b1513	K10558
eco:b1514	K10556
eco:b1515	K10557
eco:b1516	K10555
eco:b1517	K08321
eco:b1518	K11530
eco:b1519	K00598
eco:b1520	K08994
eco:b1521	K00041
eco:b1524	K01425
eco:b1525	K08324
eco:b1528	K08159
eco:b1529	K05595
eco:b1530	K03712
eco:b1531	K13632
eco:b1532	K13630
eco:b1533	K15268
eco:b1535	K13069
eco:b1538	K01284
eco:b1539	K16066
eco:b1540	K22293
eco:b1543	K08173
eco:b1545	K14060
eco:b1548	K22014
eco:b1552	K03704
eco:b1554	K01185
eco:b1557	K03704
eco:b1558	K03704
eco:b1562	K18919
eco:b1563	K06218
eco:b1564	K18918
eco:b1569	K22302
eco:b1570	K22300
eco:b1574	K18517
eco:b1575	K22304
eco:b1580	K08322
eco:b1581	K08323
eco:b1582	K09771
eco:b1584	K00657
eco:b1587	K07309
eco:b1588	K07310
eco:b1589	K07311
eco:b1590	K07312
eco:b1591	K23349
eco:b1592	K03281
eco:b1593	K01935
eco:b1594	K15545
eco:b1596	K08224
eco:b1598	K04775
eco:b1599	K11742
eco:b1600	K11743
eco:b1601	K11744
eco:b1602	K00325
eco:b1603	K00324
eco:b1605	K03758
eco:b1606	K13938
eco:b1608	K07661
eco:b1609	K07639
eco:b1610	K10748
eco:b1611	K01679
eco:b1612	K01676
eco:b1613	K01809
eco:b1615	K16140
eco:b1616	K16139
eco:b1617	K01195
eco:b1618	K16138
eco:b1619	K00076
eco:b1620	K16136
eco:b1621	K02791
eco:b1622	K14155
eco:b1623	K01488
eco:b1627	K03617
eco:b1628	K03616
eco:b1629	K03615
eco:b1630	K03614
eco:b1631	K03612
eco:b1632	K03613
eco:b1633	K10773
eco:b1634	K03305
eco:b1635	K00799
eco:b1636	K00868
eco:b1637	K01866
eco:b1638	K00275
eco:b1640	K09001
eco:b1641	K06077
eco:b1642	K06075
eco:b1646	K04565
eco:b1648	K06938
eco:b1649	K16137
eco:b1650	K10680
eco:b1651	K01759
eco:b1652	K03683
eco:b1653	K03724
eco:b1654	K07390
eco:b1655	K19303
eco:b1656	K04564
eco:b1657	K19577
eco:b1658	K03604
eco:b1661	K00574
eco:b1662	K00793
eco:b1663	K03327
eco:b1665	K14237
eco:b1666	K14237
eco:b1670	K08354
eco:b1675	K01675
eco:b1676	K00873
eco:b1677	K06078
eco:b1678	K19234
eco:b1679	K02426
eco:b1680	K11717
eco:b1681	K09015
eco:b1682	K09013
eco:b1683	K09014
eco:b1684	K05997
eco:b1686	K19222
eco:b1692	K05887
eco:b1693	K03785
eco:b1694	K19709
eco:b1699	K00313
eco:b1700	K03855
eco:b1701	K12507
eco:b1702	K01007
eco:b1703	K09773
eco:b1704	K01626
eco:b1706	K08997
eco:b1708	K13695
eco:b1709	K06074
eco:b1710	K00432
eco:b1711	K06073
eco:b1712	K04764
eco:b1713	K01890
eco:b1714	K01889
eco:b1716	K02887
eco:b1717	K02916
eco:b1718	K02520
eco:b1719	K01868
eco:b1722	K07283
eco:b1723	K16370
eco:b1727	K24204
eco:b1728	K07038
eco:b1729	K06956
eco:b1731	K15722
eco:b1732	K03781
eco:b1733	K03478
eco:b1734	K01222
eco:b1735	K03490
eco:b1736	K02759
eco:b1737	K02761
eco:b1738	K02760
eco:b1739	K04064
eco:b1740	K01916
eco:b1741	K05984
eco:b1742	K09975
eco:b1743	K06006
eco:b1744	K05526
eco:b1745	K01484
eco:b1746	K06447
eco:b1747	K00673
eco:b1748	K00840
